City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
port alfred,-33.5906,26.891,65.77,30.0,99.0,8.9,ZA,1627776229.0
hilo,19.7297,-155.09,80.11,78.0,60.0,8.01,US,1627775940.0
mahenge,-8.6833,36.7167,61.9,63.0,93.0,3.83,TZ,1627776229.0
saldanha,-33.0117,17.9442,55.45,68.0,36.0,6.26,ZA,1627775979.0
butaritari,3.0707,172.7902,82.08,74.0,38.0,8.93,KI,1627776230.0
tilichiki,60.4667,166.1,56.35,41.0,43.0,5.44,RU,1627776230.0
saint george,37.1041,-113.5841,90.19,40.0,1.0,12.66,US,1627776010.0
ponta do sol,32.6667,-17.1,71.71,72.0,13.0,9.1,PT,1627776231.0
kodiak,57.79,-152.4072,62.11,72.0,90.0,8.05,US,1627776231.0
avarua,-21.2078,-159.775,77.05,69.0,40.0,11.5,CK,1627776232.0
albany,42.6001,-73.9662,66.85,68.0,38.0,1.99,US,1627775969.0
sorland,67.667,12.6934,49.35,78.0,100.0,12.68,NO,1627776232.0
araouane,18.9048,-3.5265,96.44,30.0,37.0,8.37,ML,1627776233.0
ushuaia,-54.8,-68.3,35.73,89.0,100.0,12.75,AR,1627776233.0
aksarka,66.5606,67.7975,47.82,81.0,73.0,5.37,RU,1627776233.0
barrow,71.2906,-156.7887,48.22,95.0,90.0,20.71,US,1627776102.0
sisimiut,66.9395,-53.6735,50.38,73.0,23.0,2.64,GL,1627776088.0
polyarnyy,69.1989,33.4478,52.27,80.0,100.0,4.7,RU,1627776234.0
galle,6.0367,80.217,78.51,86.0,50.0,12.06,LK,1627776235.0
bluff,-46.6,168.3333,49.8,92.0,100.0,1.88,NZ,1627776037.0
pontianak,-0.0333,109.3333,80.58,89.0,40.0,4.61,ID,1627776235.0
vila velha,-20.3297,-40.2925,62.55,94.0,90.0,4.61,BR,1627775936.0
upernavik,72.7868,-56.1549,43.36,78.0,100.0,2.55,GL,1627776053.0
hermanus,-34.4187,19.2345,53.8,89.0,99.0,7.05,ZA,1627776128.0
college,64.8569,-147.8028,80.58,43.0,40.0,9.22,US,1627776236.0
nautla,20.2167,-96.7833,85.15,66.0,77.0,8.48,MX,1627776237.0
tabou,4.423,-7.3528,76.17,86.0,98.0,10.25,CI,1627775987.0
jalu,29.0331,21.5482,87.13,18.0,0.0,9.44,LY,1627775948.0
narsaq,60.9167,-46.05,50.22,75.0,83.0,4.23,GL,1627776237.0
fairbanks,64.8378,-147.7164,82.09,43.0,1.0,1.01,US,1627776238.0
hamilton,39.1834,-84.5333,73.69,70.0,90.0,1.99,US,1627776237.0
torbay,47.6666,-52.7314,62.67,84.0,39.0,18.39,CA,1627776238.0
kingseat,56.0974,-3.4084,55.76,93.0,75.0,1.99,GB,1627776239.0
adrar,20.5022,-10.0711,83.77,55.0,71.0,26.55,MR,1627776239.0
ribeira grande,38.5167,-28.7,71.51,85.0,45.0,5.93,PT,1627776239.0
jamestown,42.097,-79.2353,69.12,72.0,1.0,1.41,US,1627776240.0
itoman,26.1247,127.6694,84.58,94.0,75.0,16.11,JP,1627776240.0
scarborough,54.2797,-0.4044,58.53,92.0,100.0,1.01,GB,1627776222.0
hobart,-42.8794,147.3294,48.25,69.0,75.0,5.99,AU,1627776066.0
rikitea,-23.1203,-134.9692,70.41,71.0,23.0,10.87,PF,1627776241.0
la ronge,55.1001,-105.2842,77.25,36.0,40.0,5.75,CA,1627775999.0
ballina,-28.8667,153.5667,71.78,59.0,0.0,7.85,AU,1627776242.0
castro,-24.7911,-50.0119,46.87,81.0,98.0,7.4,BR,1627776075.0
boende,-0.2167,20.8667,75.34,68.0,100.0,3.04,CD,1627776242.0
sao felix do xingu,-6.6447,-51.995,83.19,35.0,85.0,0.65,BR,1627776243.0
yellowknife,62.456,-114.3525,83.28,45.0,19.0,1.99,CA,1627776033.0
esperance,-33.8667,121.9,48.04,79.0,60.0,24.29,AU,1627776243.0
thompson,55.7435,-97.8558,72.07,46.0,93.0,7.29,CA,1627776217.0
mackay,-21.15,149.2,75.69,77.0,91.0,6.85,AU,1627776244.0
cape town,-33.9258,18.4232,57.09,90.0,62.0,2.28,ZA,1627776076.0
kaeo,-35.1,173.7833,62.33,68.0,7.0,8.01,NZ,1627776245.0
goderich,43.7501,-81.7165,72.91,76.0,88.0,11.41,CA,1627776245.0
busselton,-33.65,115.3333,45.09,73.0,91.0,27.56,AU,1627776245.0
provideniya,64.3833,-173.3,46.96,77.0,95.0,4.43,RU,1627776246.0
lebu,-37.6167,-73.65,47.37,85.0,0.0,14.27,CL,1627776246.0
manono,-7.3,27.4167,72.48,33.0,0.0,6.98,CD,1627776246.0
new norfolk,-42.7826,147.0587,48.92,51.0,11.0,7.45,AU,1627776247.0
varadero,23.1536,-81.2514,83.12,79.0,45.0,14.27,CU,1627776004.0
vaini,-21.2,-175.2,73.71,75.0,100.0,26.87,TO,1627776248.0
lompoc,34.6391,-120.4579,85.69,71.0,1.0,7.0,US,1627776248.0
bilibino,68.0546,166.4372,50.94,49.0,89.0,8.55,RU,1627776249.0
severo-kurilsk,50.6789,156.125,55.54,83.0,99.0,9.86,RU,1627776249.0
cerrito,6.8432,-72.694,54.39,92.0,80.0,7.49,CO,1627776249.0
naze,28.3667,129.4833,79.59,85.0,100.0,11.59,JP,1627776250.0
loandjili,-4.7561,11.8578,72.16,85.0,11.0,4.65,CG,1627776250.0
codrington,-38.2667,141.9667,48.34,84.0,30.0,10.16,AU,1627776251.0
somerton,32.5964,-114.7097,105.37,29.0,1.0,6.91,US,1627776251.0
mayumba,-3.432,10.6554,71.65,88.0,8.0,4.63,GA,1627776252.0
fortuna,40.5982,-124.1573,69.85,87.0,90.0,13.8,US,1627776252.0
khatanga,71.9667,102.5,66.67,66.0,84.0,8.68,RU,1627776252.0
punta arenas,-53.15,-70.9167,39.31,65.0,0.0,11.5,CL,1627776253.0
skeldon,5.8833,-57.1333,76.19,90.0,54.0,3.27,GY,1627776253.0
hithadhoo,-0.6,73.0833,80.67,74.0,67.0,5.23,MV,1627776253.0
cidreira,-30.1811,-50.2056,57.4,85.0,14.0,15.73,BR,1627776254.0
dikson,73.5069,80.5464,40.32,100.0,100.0,20.69,RU,1627776254.0
barcelos,41.5388,-8.6151,60.85,92.0,41.0,3.91,PT,1627776255.0
tuktoyaktuk,69.4541,-133.0374,51.46,89.0,100.0,8.79,CA,1627776255.0
vila franca do campo,37.7167,-25.4333,70.21,90.0,56.0,5.12,PT,1627776255.0
cabo san lucas,22.8909,-109.9124,93.51,71.0,75.0,17.27,MX,1627776225.0
sitka,57.0531,-135.33,64.29,77.0,75.0,6.91,US,1627776256.0
mansehra,34.3333,73.2,69.66,88.0,16.0,4.61,PK,1627776256.0
port elizabeth,-33.918,25.5701,60.28,38.0,87.0,4.72,ZA,1627776257.0
arraial do cabo,-22.9661,-42.0278,66.42,64.0,96.0,14.07,BR,1627776257.0
nova odesa,47.3078,31.7851,74.43,60.0,12.0,3.78,UA,1627776258.0
egvekinot,66.3167,-179.1667,40.78,58.0,90.0,3.29,RU,1627776258.0
carahue,-38.7,-73.1667,41.2,88.0,2.0,0.65,CL,1627776259.0
saint anthony,45.0205,-93.218,84.81,38.0,1.0,4.0,US,1627776259.0
riverton,40.5219,-111.9391,91.4,36.0,1.0,1.99,US,1627776259.0
batagay,67.6333,134.6333,64.76,38.0,28.0,9.24,RU,1627776260.0
troitskoye,52.9821,84.6757,61.34,59.0,83.0,5.06,RU,1627776260.0
lumphat,13.4878,106.9816,75.16,98.0,95.0,4.97,KH,1627776260.0
todos santos,23.45,-110.2167,93.0,77.0,86.0,4.54,MX,1627776261.0
skibbereen,51.55,-9.2667,57.0,89.0,56.0,6.22,IE,1627776261.0
mataura,-46.1927,168.8643,49.48,99.0,100.0,1.16,NZ,1627776262.0
alofi,-19.0595,-169.9187,78.08,83.0,100.0,27.27,NU,1627776262.0
petropavlovsk-kamchatskiy,53.0452,158.6483,57.79,94.0,75.0,4.47,RU,1627776262.0
chokurdakh,70.6333,147.9167,42.6,73.0,100.0,19.6,RU,1627776263.0
mayo,38.8876,-76.5119,79.38,69.0,70.0,1.01,US,1627776085.0
mustafabad,30.8922,73.4989,86.58,66.0,4.0,5.46,PK,1627776263.0
nsanje,-16.92,35.262,61.48,97.0,26.0,3.13,MW,1627776264.0
caraballeda,10.6112,-66.8522,82.47,78.0,75.0,2.3,VE,1627776264.0
kyrylivka,46.3759,35.3675,77.63,57.0,0.0,5.3,UA,1627776264.0
vestmannaeyjar,63.4427,-20.2734,53.67,93.0,100.0,3.09,IS,1627776265.0
mkuranga,-7.118,39.2078,72.16,79.0,62.0,8.46,TZ,1627776265.0
bilma,18.6853,12.9164,92.79,20.0,14.0,8.72,NE,1627776266.0
kahului,20.8947,-156.47,87.96,64.0,20.0,28.77,US,1627776266.0
korla,41.7597,86.1469,71.37,32.0,96.0,18.77,CN,1627776266.0
bathsheba,13.2167,-59.5167,83.01,78.0,40.0,14.97,BB,1627776267.0
